index,name,experience,interest-1,interest-2,interest-3,linkedIn,github,proficiency-1,proficiency-2
857,Erna,2,big data,algorithms,ios development,167,28,c++,python
858,Florida,10,game development,frontend development,blockchain,547,13,python,MEAN
859,Frona,5,game development,algorithms,hardware design,602,11,arduino,MERN
860,Hilma,5,game development,internet of things,deep learning,655,43,R,javascript
861,Juliet,16,algorithms,computer vision,data structures,547,3,swift,R
862,Leonie,17,competitive programming,computer vision,competitive programming,596,45,java,R
863,Lugenia,17,big data,machine learning,backend development,62,31,c++,javascript
864,Mammie,3,data science,frontend development,algorithms,588,9,python,verilog
865,Manda,12,competitive programming,full stack web development,backend development,202,31,R,arduino
866,Manerva,3,internet of things,data science,big data,69,48,MERN,MEAN
867,Manie,17,frontend development,blockchain,ios development,681,15,arduino,matlab
868,Nella,3,deep learning,full stack web development,full stack web development,364,38,R,javascript
869,Paulina,9,blockchain,deep learning,backend development,685,50,flutter,c
870,Philomena,8,android app development,data science,data structures,177,38,python,swift
871,Selina,19,natural language processing,machine learning,blockchain,310,26,octave,javascript
872,Sena,9,hardware design,backend development,frontend development,915,3,swift,R
873,Theodosia,20,computer vision,data structures,data structures,755,36,java,python
874,Una,4,deep learning,deep learning,frontend development,728,38,octave,arduino
875,Adela,11,frontend development,algorithms,software design,397,29,R,java
876,Althea,17,full stack web development,frontend development,deep learning,519,47,java,MERN
877,Amalia,16,data science,full stack web development,frontend development,757,22,matlab,c
878,Amber,8,computer vision,competitive programming,algorithms,660,39,MERN,MEAN
879,Angelina,17,competitive programming,competitive programming,android app development,33,16,arduino,matlab
880,Annabelle,11,ios development,computer vision,computer vision,250,18,matlab,arduino
881,Anner,20,blockchain,data science,game development,4,2,javascript,swift
882,Arie,16,data science,android app development,computer vision,203,37,c++,java
883,Clarice,3,data structures,competitive programming,full stack web development,120,16,python,c
884,Corda,14,big data,hardware design,ios development,604,8,javascript,java
885,Corrie,12,game development,data structures,full stack web development,749,2,flutter,c
886,Dellar,9,deep learning,data science,deep learning,491,25,java,go
887,Donie,17,software design,algorithms,full stack web development,291,12,flutter,MEAN
888,Elda,2,data science,machine learning,ios development,494,35,octave,flutter
889,Elinor,3,game development,frontend development,competitive programming,742,30,python,MERN
890,Emeline,2,big data,android app development,data science,283,41,swift,octave
891,Emilia,20,algorithms,big data,full stack web development,590,43,python,verilog
892,Etha,11,competitive programming,deep learning,computer vision,317,30,MERN,MERN
893,Indiana,10,algorithms,machine learning,internet of things,923,17,python,R
894,Ione,14,machine learning,natural language processing,ios development,816,36,R,javascript
895,Josiephine,9,competitive programming,backend development,frontend development,682,32,arduino,go
896,Kitty,19,big data,algorithms,big data,574,46,javascript,c++
897,Lavina,13,big data,computer vision,internet of things,804,48,c,octave
898,Leda,6,algorithms,natural language processing,full stack web development,112,1,arduino,octave
899,Letta,13,machine learning,ios development,data structures,949,46,go,flutter
900,Mahala,19,data science,computer vision,software design,658,4,java,go
901,Marcia,12,natural language processing,computer vision,internet of things,243,31,swift,MEAN
902,Margarette,1,algorithms,game development,blockchain,959,37,R,verilog
903,Maudie,16,algorithms,internet of things,blockchain,628,8,java,matlab
904,Maye,6,blockchain,data structures,full stack web development,826,23,MERN,swift
905,Norah,11,internet of things,backend development,internet of things,966,37,R,arduino
906,Patty,3,big data,data science,data science,452,11,octave,c
907,Paula,19,natural language processing,natural language processing,hardware design,612,3,swift,javascript
908,Permelia,7,deep learning,deep learning,data structures,615,12,python,arduino
909,Rosalia,2,frontend development,frontend development,android app development,269,48,c++,MEAN
910,Roxanna,2,hardware design,backend development,data science,262,42,python,java
911,Sula,12,full stack web development,competitive programming,algorithms,581,42,matlab,verilog
912,Vada,10,frontend development,android app development,internet of things,740,48,c++,octave
913,Winnifred,16,internet of things,backend development,competitive programming,378,44,go,python
914,Adline,16,android app development,ios development,game development,365,17,java,swift
915,Almira,20,algorithms,android app development,data science,540,15,verilog,arduino
916,Alvena,20,software design,machine learning,software design,802,19,arduino,arduino
917,Arizona,9,backend development,game development,blockchain,901,39,python,arduino
918,Becky,1,frontend development,data science,android app development,389,4,c,swift
919,Bernadette,20,blockchain,internet of things,computer vision,351,10,matlab,R
920,Cordia,7,machine learning,frontend development,game development,578,49,python,python
921,Corine,12,frontend development,internet of things,frontend development,971,8,arduino,matlab
922,Dicie,12,algorithms,deep learning,full stack web development,701,26,go,MERN
923,Dove,11,data structures,internet of things,machine learning,424,16,java,octave
924,Drusilla,15,deep learning,game development,competitive programming,763,46,java,MERN
925,Elena,14,blockchain,data science,android app development,153,42,c++,matlab
926,Elenora,20,hardware design,algorithms,data structures,486,33,c,octave
927,Elmina,15,backend development,internet of things,android app development,604,34,python,MERN
928,Ethyl,13,data science,data structures,data science,441,23,flutter,c
929,Evalyn,20,algorithms,software design,game development,757,11,R,python
930,Evelina,20,android app development,deep learning,frontend development,92,38,go,flutter
931,Faye,19,frontend development,machine learning,data structures,980,21,java,matlab
932,Huldah,10,software design,algorithms,backend development,32,36,R,python
933,Idell,14,internet of things,computer vision,frontend development,927,16,MERN,go
934,Inga,3,algorithms,full stack web development,game development,631,40,R,arduino
935,Irena,11,software design,ios development,hardware design,907,8,flutter,MERN
936,Kattie,18,competitive programming,full stack web development,android app development,880,14,arduino,c
937,Lavenia,7,deep learning,frontend development,deep learning,532,47,c,java
938,Lovina,4,data structures,full stack web development,game development,627,20,R,MERN
939,Lulie,4,big data,natural language processing,computer vision,281,16,arduino,flutter
940,Magnolia,5,internet of things,software design,ios development,773,11,swift,swift
941,Margeret,8,algorithms,big data,blockchain,833,29,octave,swift
942,Margery,7,computer vision,full stack web development,data science,650,50,javascript,c++
943,Media,18,blockchain,machine learning,hardware design,802,29,javascript,javascript
944,Millicent,6,data science,competitive programming,natural language processing,122,32,c,MEAN
945,Nena,6,big data,computer vision,deep learning,932,11,javascript,matlab
946,Orilla,11,internet of things,hardware design,data science,833,4,octave,MERN
947,Pansy,13,algorithms,big data,data structures,950,41,c++,MERN
948,Rosia,14,ios development,deep learning,computer vision,466,34,c++,arduino
949,Rowena,19,data science,software design,ios development,99,31,verilog,go
950,Tabitha,4,android app development,internet of things,deep learning,128,25,javascript,octave
951,Verdie,13,full stack web development,data structures,game development,121,18,java,arduino
952,Zetta,3,data structures,game development,software design,613,45,matlab,c
953,Zoa,10,full stack web development,natural language processing,machine learning,770,20,c++,go
954,Zona,17,computer vision,full stack web development,natural language processing,58,30,c,flutter
955,Albertina,16,ios development,full stack web development,blockchain,5,1,MEAN,c++
956,Albina,8,big data,big data,frontend development,870,11,go,python
957,Alyce,14,data structures,machine learning,ios development,649,1,java,javascript
958,Amie,5,android app development,internet of things,machine learning,2,1,R,octave
959,Annis,16,frontend development,software design,android app development,716,12,java,arduino
960,Carra,11,backend development,machine learning,natural language processing,904,33,octave,go
961,Clarinda,16,natural language processing,natural language processing,game development,292,10,verilog,verilog
962,Delphia,18,deep learning,algorithms,frontend development,898,24,R,go
963,Dillie,16,big data,android app development,data science,326,16,c++,c++
964,Doshie,19,internet of things,data science,algorithms,425,16,swift,go
965,Drucilla,11,computer vision,computer vision,machine learning,499,47,python,verilog
966,Etna,7,data science,deep learning,ios development,683,34,arduino,arduino
967,Eugenie,15,big data,full stack web development,game development,715,16,arduino,MEAN
968,Eulalia,19,full stack web development,big data,big data,827,16,R,MERN
969,Eve,20,machine learning,natural language processing,hardware design,627,43,python,c
970,Felicia,3,deep learning,ios development,data science,831,25,R,R
971,Florance,7,backend development,ios development,data science,632,34,R,matlab
972,Fronie,2,data structures,algorithms,internet of things,858,8,matlab,javascript
973,Geraldine,14,frontend development,data science,data science,82,14,matlab,go
974,Gina,14,data science,data science,deep learning,234,21,java,verilog
975,Glenna,17,competitive programming,backend development,blockchain,634,5,verilog,java
976,Grayce,7,competitive programming,frontend development,machine learning,991,43,c,MEAN
977,Hedwig,3,data science,computer vision,data structures,440,46,verilog,MERN
978,Jossie,15,frontend development,data science,computer vision,358,18,verilog,R
979,Katheryn,12,internet of things,data science,full stack web development,308,46,MEAN,MERN
980,Katy,4,data science,deep learning,full stack web development,728,1,swift,java
981,Leanna,3,algorithms,frontend development,backend development,712,47,python,java
982,Leitha,13,algorithms,big data,competitive programming,957,24,c++,arduino
983,Leone,17,computer vision,hardware design,frontend development,552,11,flutter,arduino
984,Lidie,2,full stack web development,big data,internet of things,484,12,R,matlab
985,Loma,5,software design,software design,frontend development,586,25,octave,verilog
986,Lular,10,machine learning,game development,game development,638,14,javascript,MEAN
987,Magdalen,4,frontend development,backend development,data structures,54,14,swift,c++
988,Maymie,10,data structures,hardware design,blockchain,650,28,MEAN,go
989,Minervia,9,data science,ios development,data structures,944,44,octave,swift
990,Muriel,3,full stack web development,full stack web development,big data,184,2,python,arduino
991,Neppie,13,data structures,data structures,software design,735,1,octave,python
992,Onie,10,hardware design,ios development,big data,820,19,java,go
993,Osa,15,game development,blockchain,software design,173,10,swift,verilog
994,Otelia,15,big data,competitive programming,hardware design,359,49,javascript,go
995,Paralee,20,android app development,big data,natural language processing,846,12,swift,R
996,Patience,7,competitive programming,big data,big data,830,33,MERN,java
997,Rella,8,ios development,full stack web development,game development,207,10,MEAN,java
998,Rillie,9,backend development,ios development,data science,620,5,octave,swift
999,Rosanna,2,data structures,data science,machine learning,765,5,matlab,MERN
